projectDescriptionID,releaseID,releaseTime,commonName,markedRun,markedLifeStage,markedFishOrigin,sourceOfFishSite,releaseSite,releaseSubSite,nReleased,testDays,appliedMarkType,appliedMarkColor,appliedMarkPosition,IncludeInAnalysis
9,1,2015-02-10T09:00:17Z,Chinook salmon,Not recorded,NA,Unknown,Knights Landing RST,Knights Landing release site,NA,2870,4,Pigment / dye,Brown,Whole body,Yes
9,256,2015-02-14T09:00:17Z,Chinook salmon,Not recorded,NA,Unknown,Knights Landing RST,Knights Landing release site,NA,1278,10,Pigment / dye,Brown,Whole body,Yes
9,260,2014-02-19T10:30:17Z,Chinook salmon,Not recorded,NA,Unknown,Knights Landing RST,Knights Landing release site,NA,136,6,Pigment / dye,Brown,Whole body,Yes
9,261,2014-02-25T11:00:17Z,Chinook salmon,Not recorded,NA,Unknown,Knights Landing RST,Knights Landing release site,NA,149,6,Pigment / dye,Brown,Whole body,Yes
9,262,2014-03-05T15:30:17Z,Chinook salmon,Not recorded,NA,Unknown,Knights Landing RST,Knights Landing release site,NA,488,5,Pigment / dye,Brown,Whole body,Yes
9,263,2014-03-11T07:45:17Z,Chinook salmon,Not recorded,NA,Unknown,Knights Landing RST,Knights Landing release site,NA,590,7,Pigment / dye,Brown,Whole body,Yes
9,264,2014-03-19T08:30:17Z,Chinook salmon,Not recorded,NA,Unknown,Knights Landing RST,Knights Landing release site,NA,81,7,Pigment / dye,Brown,Whole body,Yes
9,265,2012-04-16T13:15:17Z,Chinook salmon,Other,NA,Unknown,Knights Landing RST,Knights Landing release site,NA,284,10,Pigment / dye,Brown,Whole body,Yes
9,266,2012-03-30T14:45:17Z,Chinook salmon,Other,NA,Unknown,Knights Landing RST,Knights Landing release site,NA,1944,10,Pigment / dye,Brown,Whole body,Yes
9,267,2012-03-19T16:00:17Z,Chinook salmon,Other,NA,Unknown,Knights Landing RST,Knights Landing release site,NA,696,10,Pigment / dye,Brown,Whole body,Yes
9,268,2012-02-04T00:30:17Z,Chinook salmon,Other,NA,Unknown,Knights Landing RST,Knights Landing release site,NA,196,10,Pigment / dye,Brown,Whole body,Yes
9,269,2012-01-28T14:00:17Z,Chinook salmon,Other,NA,Unknown,Knights Landing RST,Knights Landing release site,NA,2291,6,Pigment / dye,Brown,Whole body,Yes
9,270,2016-01-10T09:45:17Z,Chinook salmon,Other,NA,Natural,Knights Landing RST,Knights Landing release site,NA,3202,12,Pigment / dye,Brown,Whole body,Yes
9,271,2016-01-23T09:18:17Z,Chinook salmon,Other,NA,Natural,Knights Landing RST,Knights Landing release site,NA,2864,8,Pigment / dye,Brown,Whole body,Yes
9,272,2016-04-16T12:00:17Z,Chinook salmon,Other,NA,Natural,Knights Landing RST,Knights Landing release site,NA,419,8,Pigment / dye,Brown,Whole body,Yes
9,283,2017-01-16T09:40:17Z,Chinook salmon,Other,NA,Natural,Knights Landing RST,Knights Landing release site,NA,1407,28,Pigment / dye,Brown,Whole body,Yes
9,285,2017-01-28T09:49:17Z,Chinook salmon,Other,NA,Natural,Knights Landing RST,Knights Landing release site,NA,182,38,Pigment / dye,Brown,Whole body,Yes
9,296,2006-12-18T13:15:50Z,Chinook salmon,Not recorded,NA,Not recorded,Knights Landing RST,Knights Landing release site,NA,341,13,Pigment / dye,Brown,Whole body,Yes
9,551,2006-12-31T15:15:50Z,Chinook salmon,Not recorded,NA,Not recorded,Knights Landing RST,Knights Landing release site,NA,1307,45,Pigment / dye,Brown,Whole body,Yes
9,552,2007-02-17T13:00:50Z,Chinook salmon,Not recorded,NA,Not recorded,Knights Landing RST,Knights Landing release site,NA,1670,7,Pigment / dye,Brown,Whole body,Yes
9,553,2007-02-24T13:00:50Z,Chinook salmon,Not recorded,NA,Not recorded,Knights Landing RST,Knights Landing release site,NA,1052,9,Pigment / dye,Brown,Whole body,Yes
9,554,2007-03-03T11:30:50Z,Chinook salmon,Not recorded,NA,Not recorded,Knights Landing RST,Knights Landing release site,NA,596,56,Pigment / dye,Brown,Whole body,Yes
9,555,2007-04-30T11:00:50Z,Chinook salmon,Not recorded,NA,Not recorded,Knights Landing RST,Knights Landing release site,NA,712,30,Pigment / dye,Brown,Whole body,Yes
9,556,2007-02-13T17:45:50Z,Chinook salmon,Not recorded,NA,Not recorded,Knights Landing RST,Knights Landing release site,NA,2031,3,Pigment / dye,Brown,Whole body,Yes
9,557,2008-01-07T17:00:50Z,Chinook salmon,Not recorded,NA,Not recorded,Knights Landing RST,Knights Landing release site,NA,3500,4,Pigment / dye,Brown,Whole body,Yes
9,558,2008-01-12T17:00:50Z,Chinook salmon,Not recorded,NA,Not recorded,Knights Landing RST,Knights Landing release site,NA,892,7,Pigment / dye,Brown,Whole body,Yes
9,559,2008-01-29T15:30:50Z,Chinook salmon,Not recorded,NA,Not recorded,Knights Landing RST,Knights Landing release site,NA,2612,4,Pigment / dye,Brown,Whole body,Yes
9,560,2008-02-02T14:00:50Z,Chinook salmon,Not recorded,NA,Not recorded,Knights Landing RST,Knights Landing release site,NA,7180,7,Pigment / dye,Brown,Whole body,Yes
9,561,2008-02-09T12:00:50Z,Chinook salmon,Not recorded,NA,Not recorded,Knights Landing RST,Knights Landing release site,NA,554,7,Pigment / dye,Brown,Whole body,Yes
9,562,2008-02-16T11:30:50Z,Chinook salmon,Not recorded,NA,Not recorded,Knights Landing RST,Knights Landing release site,NA,243,11,Pigment / dye,Brown,Whole body,Yes
9,563,2008-02-27T13:30:50Z,Chinook salmon,Not recorded,NA,Not recorded,Knights Landing RST,Knights Landing release site,NA,626,3,Pigment / dye,Brown,Whole body,Yes
9,564,2008-03-01T13:30:50Z,Chinook salmon,Not recorded,NA,Not recorded,Knights Landing RST,Knights Landing release site,NA,1058,7,Pigment / dye,Brown,Whole body,Yes
9,565,2009-01-29T11:45:50Z,Chinook salmon,Not recorded,NA,Not recorded,Knights Landing RST,Knights Landing release site,NA,250,9,Pigment / dye,Brown,Whole body,Yes
9,566,2009-02-22T15:20:50Z,Chinook salmon,Not recorded,NA,Not recorded,Knights Landing RST,Knights Landing release site,NA,2212,6,Pigment / dye,Brown,Whole body,Yes
9,567,2009-03-01T16:30:50Z,Chinook salmon,Not recorded,NA,Not recorded,Knights Landing RST,Knights Landing release site,NA,2761,6,Pigment / dye,Brown,Whole body,Yes
9,568,2009-03-15T15:15:50Z,Chinook salmon,Not recorded,NA,Not recorded,Knights Landing RST,Knights Landing release site,NA,1106,6,Pigment / dye,Brown,Whole body,Yes
9,569,2009-03-21T14:00:50Z,Chinook salmon,Not recorded,NA,Not recorded,Knights Landing RST,Knights Landing release site,NA,1234,7,Pigment / dye,Brown,Whole body,Yes
9,570,2009-03-08T13:15:50Z,Chinook salmon,Not recorded,NA,Not recorded,Knights Landing RST,Knights Landing release site,NA,1106,7,Pigment / dye,Brown,Whole body,Yes
9,571,2010-01-20T16:00:50Z,Chinook salmon,Not recorded,NA,Not recorded,Knights Landing RST,Knights Landing release site,NA,465,3,Pigment / dye,Brown,Whole body,Yes
9,572,2010-01-23T16:00:50Z,Chinook salmon,Not recorded,NA,Not recorded,Knights Landing RST,Knights Landing release site,NA,3273,5,Pigment / dye,Brown,Whole body,Yes
9,573,2010-01-30T16:00:50Z,Chinook salmon,Not recorded,NA,Not recorded,Knights Landing RST,Knights Landing release site,NA,1096,7,Pigment / dye,Brown,Whole body,Yes
9,575,2010-03-03T16:00:50Z,Chinook salmon,Not recorded,NA,Not recorded,Knights Landing RST,Knights Landing release site,NA,171,7,Pigment / dye,Brown,Whole body,Yes
9,576,2011-01-03T13:00:50Z,Chinook salmon,Not recorded,NA,Not recorded,Knights Landing RST,Knights Landing release site,NA,708,7,Pigment / dye,Brown,Whole body,Yes
9,577,2011-02-23T12:15:50Z,Chinook salmon,Not recorded,NA,Not recorded,Knights Landing RST,Knights Landing release site,NA,370,7,Pigment / dye,Brown,Whole body,Yes
9,578,2011-03-21T12:00:50Z,Chinook salmon,Not recorded,NA,Not recorded,Knights Landing RST,Knights Landing release site,NA,414,7,Pigment / dye,Brown,Whole body,Yes
9,579,2011-03-30T12:15:50Z,Chinook salmon,Not recorded,NA,Not recorded,Knights Landing RST,Knights Landing release site,NA,205,7,Pigment / dye,Brown,Whole body,Yes
9,580,2011-04-23T11:15:50Z,Chinook salmon,Not recorded,NA,Not recorded,Knights Landing RST,Knights Landing release site,NA,136,7,Pigment / dye,Brown,Whole body,Yes
9,589,2019-02-07T11:45:17Z,Chinook salmon,Other,Juvenile,Unknown,Knights Landing RST,Knights Landing release site,NA,293,35,Pigment / dye,Brown,Whole body,Yes
9,590,2019-04-13T11:00:17Z,Chinook salmon,Other,Juvenile,Unknown,Knights Landing RST,Knights Landing release site,NA,792,12,Pigment / dye,Brown,Whole body,Yes
9,594,2019-04-25T09:00:17Z,Chinook salmon,Not recorded,Juvenile,Unknown,Knights Landing RST,Knights Landing release site,NA,127,57,Pigment / dye,Brown,Whole body,No
9,595,2021-02-04T10:05:50Z,Chinook salmon,Not recorded,Juvenile,Not recorded,Knights Landing RST,Knights Landing release site,NA,100,6,Pigment / dye,Brown,Whole body,Yes
9,597,2021-02-09T10:00:50Z,Chinook salmon,Not recorded,Juvenile,Not recorded,Knights Landing RST,Knights Landing release site,NA,264,22,Pigment / dye,Brown,Whole body,Yes
9,598,2021-02-11T10:00:50Z,Chinook salmon,Not recorded,Juvenile,Not recorded,Knights Landing RST,Knights Landing release site,NA,137,10,Pigment / dye,Brown,Whole body,Yes
9,599,2021-03-22T09:45:50Z,Chinook salmon,Not recorded,Juvenile,Not recorded,Knights Landing RST,Knights Landing release site,NA,246,6,Pigment / dye,Brown,Whole body,Yes
9,600,2021-03-24T09:15:50Z,Chinook salmon,Not recorded,Juvenile,Not recorded,Knights Landing RST,Knights Landing release site,NA,198,6,Pigment / dye,Brown,Whole body,Yes
9,601,2021-03-25T10:00:50Z,Chinook salmon,Not recorded,Juvenile,Not recorded,Knights Landing RST,Knights Landing release site,NA,112,6,Pigment / dye,Brown,Whole body,Yes
9,602,2021-04-01T10:30:08Z,Chinook salmon,Fall,Juvenile,Hatchery,Knights Landing RST,Knights Landing release site,NA,128,10,Pigment / dye,Brown,Whole body,Yes
9,608,2021-12-21T10:45:35Z,Chinook salmon,Not recorded,Juvenile,Natural,Knights Landing RST,Knights Landing release site,NA,275,7,Pigment / dye,Brown,Whole body,Yes
9,609,2021-12-30T09:45:37Z,Chinook salmon,Not recorded,Juvenile,Natural,Knights Landing RST,Knights Landing release site,NA,212,7,Pigment / dye,Orange,Whole body,Yes
9,610,2022-01-10T10:00:37Z,Chinook salmon,Not recorded,Juvenile,Natural,Knights Landing RST,Knights Landing release site,NA,320,7,Pigment / dye,Orange,Whole body,Yes
9,612,2023-01-10T10:30:50Z,Chinook salmon,Fall,Juvenile,Natural,Knights Landing RST,Knights Landing release site,NA,721,28,Pigment / dye,Brown,Whole body,Yes
9,616,2023-04-13T09:45:50Z,Chinook salmon,Fall,Juvenile,Natural,Knights Landing RST,Knights Landing release site,NA,1217,6,Pigment / dye,Brown,Whole body,Yes
9,621,2025-02-12T12:30:50Z,Chinook salmon,Fall,NA,Natural,Knights Landing RST,Knights Landing release site,NA,134,7,Pigment / dye,Brown,Whole body,Yes
9,586,2018-10-25T09:41:17Z,Chinook salmon,Late fall,Smolt,Hatchery,Not applicable,Knights Landing release site,NA,520,14,Pigment / dye,Pink,Nose,Yes
9,587,2018-10-25T09:55:17Z,Chinook salmon,Late fall,Smolt,Hatchery,Not applicable,Knights Landing release site,NA,585,14,Fin clip,NA,Pelvic fin: left,Yes
9,588,2018-11-08T10:30:17Z,Chinook salmon,Late fall,Smolt,Hatchery,Not applicable,Knights Landing release site,NA,642,91,Elastomer,Orange,Nose,Yes
9,591,2019-03-14T09:57:17Z,Chinook salmon,Fall,Juvenile,Hatchery,Not applicable,Knights Landing release site,NA,1114,13,Elastomer,Pink,Nose,Yes
9,592,2019-03-28T09:15:17Z,Chinook salmon,Fall,Juvenile,Hatchery,Not applicable,Knights Landing release site,NA,910,13,Elastomer,Orange,Nose,Yes
9,593,2019-04-11T11:15:17Z,Chinook salmon,Fall,Juvenile,Hatchery,Not applicable,Knights Landing release site,NA,1121,12,Elastomer,Green,Nose,Yes
9,603,2022-03-11T09:45:37Z,Chinook salmon,Fall,NA,Hatchery,Not applicable,Knights Landing release site,NA,500,7,Elastomer,Orange,Nose,Yes
9,620,2024-03-27T10:15:50Z,Chinook salmon,Fall,Juvenile,Hatchery,Not applicable,Knights Landing release site,Nights release site,1163,7,Pigment / dye,Brown,Whole body,Yes
9,255,NA,Not applicable (n/a),Not recorded,NA,Not recorded,Not yet assigned,Not applicable,NA,NA,0,NA,NA,NA,No
9,258,2015-03-24T08:10:17Z,Chinook salmon,Fall,NA,Hatchery,Not yet assigned,Knights Landing release site,NA,570,7,Elastomer,Orange,Nose,Yes
9,259,2015-03-31T13:00:17Z,Chinook salmon,Fall,NA,Hatchery,Not yet assigned,Knights Landing release site,NA,513,10,Elastomer,Red,Nose,Yes
9,273,2016-02-10T10:20:17Z,Chinook salmon,Fall,NA,Hatchery,Not yet assigned,Knights Landing release site,NA,632,62,Elastomer,Pink,Nose,Yes
9,274,2016-02-17T10:00:17Z,Chinook salmon,Fall,NA,Hatchery,Not yet assigned,Knights Landing release site,NA,479,136,Elastomer,Blue,Nose,Yes
9,275,2016-02-24T11:15:17Z,Chinook salmon,Fall,NA,Hatchery,Not yet assigned,Knights Landing release site,NA,489,28,Elastomer,Orange,Nose,Yes
9,276,2016-03-16T11:15:17Z,Chinook salmon,Fall,NA,Hatchery,Not yet assigned,Knights Landing release site,NA,490,13,Elastomer,Purple / Violet,Nose,Yes
9,277,2016-03-23T13:45:17Z,Chinook salmon,Fall,NA,Hatchery,Not yet assigned,Knights Landing release site,NA,488,13,Elastomer,Orange,Nose,Yes
9,278,2016-03-30T10:20:17Z,Chinook salmon,Fall,NA,Hatchery,Not yet assigned,Knights Landing release site,NA,470,93,Elastomer,Purple / Violet,Nose,Yes
9,279,2016-04-06T09:48:17Z,Chinook salmon,Fall,NA,Hatchery,Not yet assigned,Knights Landing release site,NA,516,20,Elastomer,Orange,Nose,Yes
9,280,2016-04-13T09:48:17Z,Chinook salmon,Fall,NA,Hatchery,Not yet assigned,Knights Landing release site,NA,473,79,Elastomer,Pink,Nose,Yes
9,281,2016-04-27T09:42:17Z,Chinook salmon,Fall,NA,Hatchery,Not yet assigned,Knights Landing release site,NA,507,65,Elastomer,Orange,Nose,Yes
9,286,2016-09-16T10:14:17Z,Chinook salmon,Late fall,NA,Hatchery,Not yet assigned,Knights Landing release site,NA,334,45,Elastomer,Purple / Violet,Nose,Yes
9,287,2016-09-29T14:30:17Z,Chinook salmon,Late fall,NA,Hatchery,Not yet assigned,Knights Landing release site,NA,311,45,Elastomer,Pink,Nose,Yes
9,288,2016-10-12T14:29:17Z,Chinook salmon,Late fall,NA,Hatchery,Not yet assigned,Knights Landing release site,NA,304,45,Elastomer,Orange,Nose,Yes
9,289,2016-10-19T15:44:17Z,Chinook salmon,Late fall,NA,Hatchery,Not yet assigned,Knights Landing release site,NA,152,45,Elastomer,Green,Nose,Yes
9,290,2016-11-09T15:30:17Z,Chinook salmon,Late fall,NA,Hatchery,Not yet assigned,Knights Landing release site,NA,969,45,Elastomer,Purple / Violet,Nose,Yes
9,291,2016-11-30T16:45:17Z,Chinook salmon,Late fall,NA,Hatchery,Not yet assigned,Knights Landing release site,NA,1126,45,Elastomer,Blue,Nose,Yes
9,292,2017-03-08T09:10:17Z,Chinook salmon,Fall,NA,Hatchery,Not yet assigned,Knights Landing release site,NA,987,45,Elastomer,Pink,Nose,Yes
9,293,2017-03-15T09:00:17Z,Chinook salmon,Fall,NA,Hatchery,Not yet assigned,Knights Landing release site,NA,950,45,Elastomer,Purple / Violet,Nose,Yes
9,294,2017-03-22T09:00:17Z,Chinook salmon,Fall,NA,Hatchery,Not yet assigned,Knights Landing release site,NA,906,45,Elastomer,Orange,Nose,Yes
9,574,2010-02-10T16:00:50Z,Chinook salmon,Not recorded,NA,Not recorded,Not yet assigned,Knights Landing release site,NA,399,7,Pigment / dye,Brown,Whole body,Yes
