ProjectDescriptionID,catchRawID,trapVisitID,commonName,releaseID,atCaptureRun,finalRun,fishOrigin,lifeStage,actualCount,forkLength,totalLength,n,visitTime,visitType,siteName,subSiteName,markType,markColor,markPosition,markCode
11,22160,1299,Chinook salmon,263,Not recorded,,Natural,Not recorded,Yes,,,1,2021-01-17T09:30:51Z,Continue trapping,Parrot-Phelan RST,PP RST,Pigment / dye,Brown,Whole body,
11,22974,1344,Chinook salmon,264,Not recorded,,Natural,Not recorded,Yes,,,10,2021-02-11T09:00:47Z,Continue trapping,Parrot-Phelan RST,PP RST,Pigment / dye,Brown,Whole body,
11,22989,1345,Chinook salmon,264,Not recorded,,Natural,Juvenile,Yes,,,8,2021-02-12T15:30:07Z,Unplanned restart,Parrot-Phelan RST,PP RST,Pigment / dye,Brown,Whole body,
11,23068,1350,Chinook salmon,264,Not recorded,,Natural,Not recorded,Yes,,,2,2021-02-11T08:15:38Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,Pigment / dye,Brown,Whole body,
11,23082,1351,Chinook salmon,264,Not recorded,,Natural,Not recorded,Yes,,,5,2021-02-12T13:30:51Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,Pigment / dye,Brown,Whole body,
11,23474,1371,Chinook salmon,265,Not recorded,,Natural,Juvenile,Yes,,,65,2021-02-25T09:30:32Z,Continue trapping,Parrot-Phelan RST,PP RST,Pigment / dye,Brown,Whole body,
11,23484,1372,Chinook salmon,265,Not recorded,,Natural,Not recorded,Yes,,,24,2021-02-26T09:00:51Z,Continue trapping,Parrot-Phelan RST,PP RST,Pigment / dye,Brown,Whole body,
11,23541,1377,Chinook salmon,265,Not recorded,,Natural,Not recorded,Yes,,,6,2021-02-25T08:30:22Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,Pigment / dye,Brown,Whole body,
11,23565,1378,Chinook salmon,265,Spring,Spring,Natural,Not recorded,Yes,,,5,2021-02-26T08:30:20Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,Pigment / dye,Brown,Whole body,
11,23587,1380,Chinook salmon,265,Spring,Spring,Natural,Not recorded,Yes,,,1,2021-02-28T08:30:25Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,Pigment / dye,Brown,Whole body,
11,23643,1385,Chinook salmon,265,Spring,,Natural,Not recorded,Yes,,,1,2021-03-03T08:30:39Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,Pigment / dye,Brown,Whole body,
11,23804,1405,Chinook salmon,266,Spring,,Natural,Juvenile,Yes,,,13,2021-03-11T09:40:22Z,Continue trapping,Parrot-Phelan RST,PP RST,Pigment / dye,Brown,Whole body,
11,23818,1406,Chinook salmon,266,Spring,,Natural,Not recorded,Yes,,,6,2021-03-12T09:00:50Z,Continue trapping,Parrot-Phelan RST,PP RST,Pigment / dye,Brown,Whole body,
11,25130,1471,Chinook salmon,267,Not recorded,,Natural,Not recorded,Yes,,,6,2021-04-09T11:30:28Z,Continue trapping,Parrot-Phelan RST,PP RST,Pigment / dye,Brown,Whole body,
11,25709,1486,Chinook salmon,268,Not recorded,,Natural,Not recorded,Yes,,,109,2021-04-16T10:30:02Z,Continue trapping,Parrot-Phelan RST,PP RST,Pigment / dye,Brown,Whole body,
11,28425,1488,Chinook salmon,268,Spring,,Natural,Juvenile,Yes,,,3,2021-04-17T11:11:50Z,Continue trapping,Parrot-Phelan RST,PP RST,Pigment / dye,Brown,Whole body,
11,28563,1281,Chinook salmon,261,Spring,,Natural,Fry,Yes,,,14,2021-01-07T10:30:17Z,Continue trapping,Parrot-Phelan RST,PP RST,Pigment / dye,Brown,Whole body,
11,29767,1283,Chinook salmon,261,Not recorded,,Natural,Juvenile,Yes,,,5,2021-01-08T09:30:11Z,Continue trapping,Parrot-Phelan RST,PP RST,Pigment / dye,Brown,Whole body,
11,29768,1285,Chinook salmon,261,Not recorded,,Natural,Juvenile,Yes,,,3,2021-01-09T10:00:04Z,Continue trapping,Parrot-Phelan RST,PP RST,Pigment / dye,Brown,Whole body,
11,29770,1297,Chinook salmon,263,Not recorded,,Natural,Juvenile,Yes,,,55,2021-01-15T14:00:01Z,Continue trapping,Parrot-Phelan RST,PP RST,Pigment / dye,Brown,Whole body,
11,29771,1298,Chinook salmon,263,Not recorded,,Natural,Juvenile,Yes,,,5,2021-01-16T09:00:04Z,Continue trapping,Parrot-Phelan RST,PP RST,Pigment / dye,Brown,Whole body,
11,32454,1781,Chinook salmon,269,Spring,,Natural,Not recorded,Yes,,,31,2022-02-09T09:00:37Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,Pigment / dye,Brown,Whole body,
11,32475,1782,Chinook salmon,269,Spring,,Natural,Not recorded,Yes,,,46,2022-02-09T10:00:20Z,Continue trapping,Parrot-Phelan RST,PP RST,Pigment / dye,Brown,Whole body,
11,33031,1795,Chinook salmon,270,Spring,,Natural,Not recorded,Yes,,,40,2022-02-16T12:00:41Z,Continue trapping,Parrot-Phelan RST,PP RST,Pigment / dye,Brown,Whole body,
11,33045,1796,Chinook salmon,270,Spring,,Natural,Not recorded,Yes,,,21,2022-02-16T09:15:10Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,Pigment / dye,Brown,Whole body,
11,33125,1797,Chinook salmon,270,Not recorded,,Natural,Not recorded,Yes,,,9,2022-02-17T10:30:32Z,Continue trapping,Parrot-Phelan RST,PP RST,Pigment / dye,Brown,Whole body,
11,33139,1798,Chinook salmon,270,Spring,,Natural,Not recorded,Yes,,,11,2022-02-17T08:45:55Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,Pigment / dye,Brown,Whole body,
11,34367,1837,Chinook salmon,271,Spring,,Natural,Not recorded,Yes,,,11,2022-03-09T09:15:28Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,Pigment / dye,Brown,Whole body,
11,34395,1838,Chinook salmon,271,Spring,,Natural,Not recorded,Yes,,,12,2022-03-09T10:15:53Z,Continue trapping,Parrot-Phelan RST,PP RST,Pigment / dye,Brown,Whole body,
11,37670,1784,Chinook salmon,269,Not recorded,,Natural,Not recorded,Yes,,,6,2022-02-10T10:00:12Z,Continue trapping,Parrot-Phelan RST,PP RST,Pigment / dye,Brown,Whole body,
11,37671,1786,Chinook salmon,269,Spring,,Natural,Not recorded,Yes,,,1,2022-02-11T09:15:57Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,Pigment / dye,Brown,Whole body,
11,41606,1840,Chinook salmon,271,Spring,,Natural,Not recorded,Yes,,,4,2022-03-10T10:00:11Z,Continue trapping,Parrot-Phelan RST,PP RST,Pigment / dye,Brown,Whole body,
11,44847,2244,Chinook salmon,272,Spring,,Natural,Not recorded,Yes,,,1,2023-01-26T09:00:23Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,Pigment / dye,Brown,Whole body,
11,44899,2243,Chinook salmon,272,Spring,,Natural,Not recorded,Yes,,,1,2023-01-25T10:00:35Z,Unplanned restart,Parrot-Phelan RST,PP RST,Pigment / dye,Brown,Whole body,
11,44900,2242,Chinook salmon,272,Spring,,Natural,Not recorded,Yes,,,6,2023-01-25T08:45:09Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,Pigment / dye,Brown,Whole body,
11,45364,2256,Chinook salmon,273,Spring,Not recorded,Natural,Not recorded,Yes,,,8,2023-02-01T11:00:58Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,Pigment / dye,Brown,Whole body,
11,45365,2256,Chinook salmon,273,Spring,Not recorded,Natural,Not recorded,Yes,,,1,2023-02-01T11:00:58Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,Pigment / dye,Brown,Whole body,
11,45421,2257,Chinook salmon,273,Spring,Not recorded,Natural,Not recorded,Yes,,,3,2023-02-01T12:00:59Z,Unplanned restart,Parrot-Phelan RST,PP RST,Pigment / dye,Brown,Whole body,
11,45786,2270,Chinook salmon,274,Spring,,Natural,Not recorded,Yes,,,13,2023-02-08T09:30:26Z,Continue trapping,Parrot-Phelan RST,PP RST,Pigment / dye,Brown,Whole body,
11,45844,2271,Chinook salmon,274,Spring,Not recorded,Natural,Not recorded,Yes,,,24,2023-02-08T08:30:17Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,Pigment / dye,Brown,Whole body,
11,45852,2272,Chinook salmon,274,Spring,Not recorded,Natural,Not recorded,Yes,,,5,2023-02-09T09:00:23Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,Pigment / dye,Brown,Whole body,
11,45920,2273,Chinook salmon,274,Spring,Not recorded,Natural,Not recorded,Yes,,,7,2023-02-09T10:00:32Z,Continue trapping,Parrot-Phelan RST,PP RST,Pigment / dye,Brown,Whole body,
11,45922,2273,Chinook salmon,274,Spring,Not recorded,Natural,Not recorded,Yes,,,1,2023-02-09T10:00:32Z,Continue trapping,Parrot-Phelan RST,PP RST,Pigment / dye,Brown,Whole body,
11,46325,2275,Chinook salmon,274,Spring,,Natural,Not recorded,Yes,,,1,2023-02-11T08:30:33Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,Pigment / dye,Brown,Whole body,
11,46604,2284,Chinook salmon,275,Spring,Spring,Natural,Not recorded,Yes,,,11,2023-02-15T11:00:11Z,Continue trapping,Parrot-Phelan RST,PP RST,Pigment / dye,Brown,Whole body,
11,46670,2285,Chinook salmon,275,Spring,Not recorded,Natural,Not recorded,Yes,,,42,2023-02-15T09:00:36Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,Pigment / dye,Brown,Whole body,
11,46721,2286,Chinook salmon,275,Spring,,Natural,Not recorded,Yes,,,4,2023-02-16T10:00:04Z,Continue trapping,Parrot-Phelan RST,PP RST,Pigment / dye,Brown,Whole body,
11,46724,2286,Chinook salmon,275,Spring,Spring,Natural,Not recorded,Yes,,,1,2023-02-16T10:00:04Z,Continue trapping,Parrot-Phelan RST,PP RST,Pigment / dye,Brown,Whole body,
11,47267,2300,Chinook salmon,276,Spring,,Natural,Not recorded,Yes,,,6,2023-02-22T10:00:07Z,Continue trapping,Parrot-Phelan RST,PP RST,Pigment / dye,Brown,Whole body,
11,47323,2299,Chinook salmon,276,Spring,,Natural,Not recorded,Yes,,,12,2023-02-22T08:30:45Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,Pigment / dye,Brown,Whole body,
11,47434,2302,Chinook salmon,276,Spring,,Natural,Not recorded,Yes,,,1,2023-02-23T08:30:32Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,Pigment / dye,Brown,Whole body,
11,47540,2304,Chinook salmon,276,Spring,,Natural,Not recorded,Yes,,,1,2023-02-24T09:00:38Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,Pigment / dye,Brown,Whole body,
11,48075,2313,Chinook salmon,277,Spring,,Natural,Not recorded,Yes,,,8,2023-03-01T10:00:08Z,Continue trapping,Parrot-Phelan RST,PP RST,Pigment / dye,Brown,Whole body,
11,48132,2314,Chinook salmon,277,Spring,,Natural,Not recorded,Yes,,,1,2023-03-01T08:30:50Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,Pigment / dye,Brown,Whole body,
11,48191,2315,Chinook salmon,277,Spring,,Natural,Not recorded,Yes,,,5,2023-03-02T10:15:56Z,Continue trapping,Parrot-Phelan RST,PP RST,Pigment / dye,Brown,Whole body,
11,48232,2316,Chinook salmon,277,Spring,,Natural,Not recorded,Yes,,,2,2023-03-02T09:00:03Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,Pigment / dye,Brown,Whole body,
11,48250,2317,Chinook salmon,277,Spring,,Natural,Not recorded,Yes,,,2,2023-03-03T09:30:22Z,Unplanned restart,Parrot-Phelan RST,PP RST,Pigment / dye,Brown,Whole body,
11,48631,2327,Chinook salmon,278,Spring,,Natural,Not recorded,Yes,,,14,2023-03-08T10:30:46Z,Continue trapping,Parrot-Phelan RST,PP RST,Pigment / dye,Brown,Whole body,
11,48711,2329,Chinook salmon,278,Spring,,Natural,Not recorded,Yes,,,14,2023-03-09T09:15:31Z,End trapping,Parrot-Phelan RST,PP RST,Pigment / dye,Brown,Whole body,
11,48712,2329,Chinook salmon,278,Spring,,Natural,Not recorded,Yes,,,1,2023-03-09T09:15:31Z,End trapping,Parrot-Phelan RST,PP RST,Pigment / dye,Brown,Whole body,
11,48742,2330,Chinook salmon,278,Spring,,Natural,Not recorded,Yes,,,5,2023-03-09T08:45:46Z,End trapping,Parrott-Phelan canal trap box,canal trap box,Pigment / dye,Brown,Whole body,
11,53202,2300,Chinook salmon,276,Not recorded,,Natural,Not recorded,Yes,,,1,2023-02-22T10:00:07Z,Continue trapping,Parrot-Phelan RST,PP RST,Pigment / dye,Brown,Whole body,
11,55134,2742,Chinook salmon,279,Spring,,Natural,Not recorded,Yes,,,22,2024-01-03T09:30:58Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,Pigment / dye,Brown,Whole body,
11,55136,2741,Chinook salmon,279,Spring,,Natural,Not recorded,Yes,,,34,2024-01-03T08:45:16Z,Unplanned restart,Parrot-Phelan RST,PP RST,Pigment / dye,Brown,Whole body,
11,55137,2741,Chinook salmon,279,Spring,,Natural,Not recorded,Yes,,,6,2024-01-03T08:45:16Z,Unplanned restart,Parrot-Phelan RST,PP RST,Pigment / dye,Brown,Whole body,
11,55199,2743,Chinook salmon,279,Spring,,Natural,Not recorded,Yes,,,2,2024-01-04T08:30:11Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,Pigment / dye,Brown,Whole body,
11,55256,2744,Chinook salmon,279,Spring,,Natural,Not recorded,Yes,,,6,2024-01-04T10:45:10Z,Continue trapping,Parrot-Phelan RST,PP RST,Pigment / dye,Brown,Whole body,
11,55357,2745,Chinook salmon,279,Spring,,Natural,Not recorded,Yes,,,1,2024-01-05T09:30:52Z,Continue trapping,Parrot-Phelan RST,PP RST,Pigment / dye,Brown,Whole body,
11,56110,2769,Chinook salmon,280,Spring,,Natural,Not recorded,Yes,,,41,2024-01-17T07:30:30Z,Unplanned restart,Parrot-Phelan RST,PP RST,Pigment / dye,Brown,Whole body,
11,56166,2770,Chinook salmon,280,Spring,,Natural,Not recorded,Yes,,,16,2024-01-17T09:30:11Z,Continue trapping,Parrott-Phelan canal trap box,canal trap box,Pigment / dye,Brown,Whole body,
11,56224,2771,Chinook salmon,280,Spring,,Natural,Not recorded,Yes,,,3,2024-01-18T08:45:24Z,Unplanned restart,Parrot-Phelan RST,PP RST,Pigment / dye,Brown,Whole body,
11,56467,2775,Chinook salmon,280,Spring,,Natural,Not recorded,Yes,,,1,2024-01-20T08:45:31Z,End trapping,Parrot-Phelan RST,PP RST,Pigment / dye,Brown,Whole body,
