week,month,stream,fl_cutoff,date_for_plot
1,jan,battle creek,75,1972-01-01
1,jan,butte creek,60,1972-01-01
1,jan,clear creek,75,1972-01-01
1,jan,deer creek,60,1972-01-01
1,jan,mill creek,60,1972-01-01
1,jan,feather river,60,1972-01-01
1,jan,yuba river,70,1972-01-01
2,jan,battle creek,75,1972-01-08
2,jan,butte creek,60,1972-01-08
2,jan,clear creek,75,1972-01-08
2,jan,deer creek,60,1972-01-08
2,jan,mill creek,60,1972-01-08
2,jan,feather river,65,1972-01-08
2,jan,yuba river,70,1972-01-08
3,jan,battle creek,85,1972-01-15
3,jan,butte creek,60,1972-01-15
3,jan,clear creek,80,1972-01-15
3,jan,deer creek,60,1972-01-15
3,jan,mill creek,60,1972-01-15
3,jan,feather river,70,1972-01-15
3,jan,yuba river,80,1972-01-15
4,jan,battle creek,100,1972-01-22
4,jan,butte creek,60,1972-01-22
4,jan,clear creek,80,1972-01-22
4,jan,deer creek,60,1972-01-22
4,jan,mill creek,60,1972-01-22
4,jan,feather river,80,1972-01-22
4,jan,yuba river,80,1972-01-22
5,feb,battle creek,100,1972-01-29
5,feb,butte creek,75,1972-01-29
5,feb,clear creek,80,1972-01-29
5,feb,deer creek,60,1972-01-29
5,feb,mill creek,60,1972-01-29
5,feb,feather river,80,1972-01-29
5,feb,yuba river,80,1972-01-29
6,feb,battle creek,110,1972-02-05
6,feb,butte creek,75,1972-02-05
6,feb,clear creek,80,1972-02-05
6,feb,deer creek,60,1972-02-05
6,feb,mill creek,60,1972-02-05
6,feb,feather river,85,1972-02-05
6,feb,yuba river,80,1972-02-05
7,feb,battle creek,120,1972-02-12
7,feb,butte creek,75,1972-02-12
7,feb,clear creek,85,1972-02-12
7,feb,deer creek,60,1972-02-12
7,feb,mill creek,60,1972-02-12
7,feb,feather river,90,1972-02-12
7,feb,yuba river,90,1972-02-12
8,feb,battle creek,130,1972-02-19
8,feb,butte creek,75,1972-02-19
8,feb,clear creek,90,1972-02-19
8,feb,deer creek,60,1972-02-19
8,feb,mill creek,60,1972-02-19
8,feb,feather river,100,1972-02-19
8,feb,yuba river,90,1972-02-19
9,mar,battle creek,130,1972-02-26
9,mar,butte creek,75,1972-02-26
9,mar,clear creek,90,1972-02-26
9,mar,deer creek,76,1972-02-26
9,mar,mill creek,76,1972-02-26
9,mar,feather river,100,1972-02-26
9,mar,yuba river,90,1972-02-26
10,mar,battle creek,130,1972-03-04
10,mar,butte creek,90,1972-03-04
10,mar,clear creek,95,1972-03-04
10,mar,deer creek,76,1972-03-04
10,mar,mill creek,76,1972-03-04
10,mar,feather river,110,1972-03-04
10,mar,yuba river,95,1972-03-04
11,mar,battle creek,130,1972-03-11
11,mar,butte creek,95,1972-03-11
11,mar,clear creek,100,1972-03-11
11,mar,deer creek,76,1972-03-11
11,mar,mill creek,76,1972-03-11
11,mar,feather river,115,1972-03-11
11,mar,yuba river,100,1972-03-11
12,mar,battle creek,130,1972-03-18
12,mar,butte creek,97,1972-03-18
12,mar,clear creek,105,1972-03-18
12,mar,deer creek,76,1972-03-18
12,mar,mill creek,76,1972-03-18
12,mar,feather river,120,1972-03-18
12,mar,yuba river,110,1972-03-18
13,apr,battle creek,130,1972-03-25
13,apr,butte creek,102,1972-03-25
13,apr,clear creek,110,1972-03-25
13,apr,deer creek,85,1972-03-25
13,apr,mill creek,85,1972-03-25
13,apr,feather river,120,1972-03-25
13,apr,yuba river,110,1972-03-25
14,apr,battle creek,130,1972-04-01
14,apr,butte creek,110,1972-04-01
14,apr,clear creek,115,1972-04-01
14,apr,deer creek,85,1972-04-01
14,apr,mill creek,85,1972-04-01
14,apr,feather river,125,1972-04-01
14,apr,yuba river,110,1972-04-01
15,apr,battle creek,130,1972-04-08
15,apr,butte creek,115,1972-04-08
15,apr,clear creek,115,1972-04-08
15,apr,deer creek,95,1972-04-08
15,apr,mill creek,95,1972-04-08
15,apr,feather river,130,1972-04-08
15,apr,yuba river,120,1972-04-08
16,apr,battle creek,130,1972-04-15
16,apr,butte creek,115,1972-04-15
16,apr,clear creek,115,1972-04-15
16,apr,deer creek,95,1972-04-15
16,apr,mill creek,95,1972-04-15
16,apr,feather river,130,1972-04-15
16,apr,yuba river,120,1972-04-15
17,apr,battle creek,130,1972-04-22
17,apr,butte creek,115,1972-04-22
17,apr,clear creek,115,1972-04-22
17,apr,deer creek,95,1972-04-22
17,apr,mill creek,95,1972-04-22
17,apr,feather river,130,1972-04-22
17,apr,yuba river,120,1972-04-22
18,may,battle creek,130,1972-04-29
18,may,butte creek,125,1972-04-29
18,may,clear creek,125,1972-04-29
18,may,deer creek,100,1972-04-29
18,may,mill creek,100,1972-04-29
18,may,feather river,145,1972-04-29
18,may,yuba river,120,1972-04-29
19,may,battle creek,130,1972-05-06
19,may,butte creek,130,1972-05-06
19,may,clear creek,125,1972-05-06
19,may,deer creek,100,1972-05-06
19,may,mill creek,105,1972-05-06
19,may,feather river,145,1972-05-06
19,may,yuba river,120,1972-05-06
20,may,battle creek,130,1972-05-13
20,may,butte creek,130,1972-05-13
20,may,clear creek,125,1972-05-13
20,may,deer creek,107,1972-05-13
20,may,mill creek,105,1972-05-13
20,may,feather river,145,1972-05-13
20,may,yuba river,140,1972-05-13
21,may,battle creek,130,1972-05-20
21,may,butte creek,140,1972-05-20
21,may,clear creek,125,1972-05-20
21,may,deer creek,107,1972-05-20
21,may,mill creek,105,1972-05-20
21,may,feather river,145,1972-05-20
21,may,yuba river,140,1972-05-20
22,jun,battle creek,130,1972-05-27
22,jun,butte creek,150,1972-05-27
22,jun,clear creek,125,1972-05-27
22,jun,deer creek,107,1972-05-27
22,jun,mill creek,105,1972-05-27
22,jun,feather river,145,1972-05-27
22,jun,yuba river,140,1972-05-27
23,jun,battle creek,130,1972-06-03
23,jun,butte creek,150,1972-06-03
23,jun,clear creek,125,1972-06-03
23,jun,deer creek,102,1972-06-03
23,jun,mill creek,100,1972-06-03
23,jun,feather river,145,1972-06-03
23,jun,yuba river,140,1972-06-03
24,jun,battle creek,130,1972-06-10
24,jun,butte creek,150,1972-06-10
24,jun,clear creek,125,1972-06-10
24,jun,deer creek,100,1972-06-10
24,jun,mill creek,100,1972-06-10
24,jun,feather river,145,1972-06-10
24,jun,yuba river,140,1972-06-10
25,jun,battle creek,130,1972-06-17
25,jun,butte creek,150,1972-06-17
25,jun,clear creek,125,1972-06-17
25,jun,deer creek,100,1972-06-17
25,jun,mill creek,100,1972-06-17
25,jun,feather river,145,1972-06-17
25,jun,yuba river,140,1972-06-17
26,jul,battle creek,130,1972-06-24
26,jul,butte creek,150,1972-06-24
26,jul,clear creek,125,1972-06-24
26,jul,deer creek,100,1972-06-24
26,jul,mill creek,100,1972-06-24
26,jul,feather river,145,1972-06-24
26,jul,yuba river,150,1972-06-24
27,jul,battle creek,130,1972-07-01
27,jul,butte creek,150,1972-07-01
27,jul,clear creek,125,1972-07-01
27,jul,deer creek,100,1972-07-01
27,jul,mill creek,100,1972-07-01
27,jul,feather river,145,1972-07-01
27,jul,yuba river,150,1972-07-01
28,jul,battle creek,130,1972-07-08
28,jul,butte creek,150,1972-07-08
28,jul,clear creek,125,1972-07-08
28,jul,deer creek,100,1972-07-08
28,jul,mill creek,100,1972-07-08
28,jul,feather river,145,1972-07-08
28,jul,yuba river,150,1972-07-08
29,jul,battle creek,130,1972-07-15
29,jul,butte creek,150,1972-07-15
29,jul,clear creek,125,1972-07-15
29,jul,deer creek,100,1972-07-15
29,jul,mill creek,100,1972-07-15
29,jul,feather river,145,1972-07-15
29,jul,yuba river,150,1972-07-15
30,jul,battle creek,130,1972-07-22
30,jul,butte creek,150,1972-07-22
30,jul,clear creek,125,1972-07-22
30,jul,deer creek,100,1972-07-22
30,jul,mill creek,100,1972-07-22
30,jul,feather river,145,1972-07-22
30,jul,yuba river,150,1972-07-22
31,aug,battle creek,130,1972-07-29
31,aug,butte creek,150,1972-07-29
31,aug,clear creek,110,1972-07-29
31,aug,deer creek,100,1972-07-29
31,aug,mill creek,100,1972-07-29
31,aug,feather river,145,1972-07-29
31,aug,yuba river,160,1972-07-29
32,aug,battle creek,130,1972-08-05
32,aug,butte creek,125,1972-08-05
32,aug,clear creek,110,1972-08-05
32,aug,deer creek,100,1972-08-05
32,aug,mill creek,100,1972-08-05
32,aug,feather river,145,1972-08-05
32,aug,yuba river,160,1972-08-05
33,aug,battle creek,130,1972-08-12
33,aug,butte creek,100,1972-08-12
33,aug,clear creek,110,1972-08-12
33,aug,deer creek,100,1972-08-12
33,aug,mill creek,100,1972-08-12
33,aug,feather river,145,1972-08-12
33,aug,yuba river,160,1972-08-12
34,aug,battle creek,130,1972-08-19
34,aug,butte creek,75,1972-08-19
34,aug,clear creek,110,1972-08-19
34,aug,deer creek,100,1972-08-19
34,aug,mill creek,100,1972-08-19
34,aug,feather river,145,1972-08-19
34,aug,yuba river,160,1972-08-19
35,sep,battle creek,130,1972-08-26
35,sep,butte creek,50,1972-08-26
35,sep,clear creek,110,1972-08-26
35,sep,deer creek,100,1972-08-26
35,sep,mill creek,100,1972-08-26
35,sep,feather river,145,1972-08-26
35,sep,yuba river,160,1972-08-26
36,sep,battle creek,130,1972-09-03
36,sep,butte creek,50,1972-09-03
36,sep,clear creek,110,1972-09-03
36,sep,deer creek,100,1972-09-03
36,sep,mill creek,100,1972-09-03
36,sep,feather river,145,1972-09-03
36,sep,yuba river,160,1972-09-03
37,sep,battle creek,130,1972-09-09
37,sep,butte creek,50,1972-09-09
37,sep,clear creek,110,1972-09-09
37,sep,deer creek,100,1972-09-09
37,sep,mill creek,100,1972-09-09
37,sep,feather river,145,1972-09-09
37,sep,yuba river,160,1972-09-09
38,sep,battle creek,130,1972-09-16
38,sep,butte creek,50,1972-09-16
38,sep,clear creek,110,1972-09-16
38,sep,deer creek,100,1972-09-16
38,sep,mill creek,100,1972-09-16
38,sep,feather river,145,1972-09-16
38,sep,yuba river,160,1972-09-16
39,sep,battle creek,130,1972-09-23
39,sep,butte creek,50,1972-09-23
39,sep,clear creek,110,1972-09-23
39,sep,deer creek,100,1972-09-23
39,sep,mill creek,100,1972-09-23
39,sep,feather river,145,1972-09-23
39,sep,yuba river,160,1972-09-23
40,oct,battle creek,75,1971-10-01
40,oct,butte creek,50,1971-10-01
40,oct,clear creek,50,1971-10-01
40,oct,deer creek,50,1971-10-01
40,oct,mill creek,50,1971-10-01
40,oct,feather river,50,1971-10-01
40,oct,yuba river,50,1971-10-01
41,oct,battle creek,75,1971-10-07
41,oct,butte creek,50,1971-10-07
41,oct,clear creek,50,1971-10-07
41,oct,deer creek,50,1971-10-07
41,oct,mill creek,50,1971-10-07
41,oct,feather river,50,1971-10-07
41,oct,yuba river,50,1971-10-07
42,oct,battle creek,75,1971-10-14
42,oct,butte creek,50,1971-10-14
42,oct,clear creek,50,1971-10-14
42,oct,deer creek,50,1971-10-14
42,oct,mill creek,50,1971-10-14
42,oct,feather river,50,1971-10-14
42,oct,yuba river,50,1971-10-14
43,oct,battle creek,75,1971-10-21
43,oct,butte creek,50,1971-10-21
43,oct,clear creek,50,1971-10-21
43,oct,deer creek,50,1971-10-21
43,oct,mill creek,50,1971-10-21
43,oct,feather river,50,1971-10-21
43,oct,yuba river,50,1971-10-21
44,nov,battle creek,75,1971-10-28
44,nov,butte creek,50,1971-10-28
44,nov,clear creek,50,1971-10-28
44,nov,deer creek,50,1971-10-28
44,nov,mill creek,50,1971-10-28
44,nov,feather river,50,1971-10-28
44,nov,yuba river,50,1971-10-28
45,nov,battle creek,75,1971-11-04
45,nov,butte creek,50,1971-11-04
45,nov,clear creek,50,1971-11-04
45,nov,deer creek,50,1971-11-04
45,nov,mill creek,50,1971-11-04
45,nov,feather river,50,1971-11-04
45,nov,yuba river,50,1971-11-04
46,nov,battle creek,75,1971-11-11
46,nov,butte creek,50,1971-11-11
46,nov,clear creek,50,1971-11-11
46,nov,deer creek,50,1971-11-11
46,nov,mill creek,50,1971-11-11
46,nov,feather river,50,1971-11-11
46,nov,yuba river,50,1971-11-11
47,nov,battle creek,75,1971-11-18
47,nov,butte creek,50,1971-11-18
47,nov,clear creek,50,1971-11-18
47,nov,deer creek,50,1971-11-18
47,nov,mill creek,50,1971-11-18
47,nov,feather river,50,1971-11-18
47,nov,yuba river,50,1971-11-18
48,dec,battle creek,75,1971-11-25
48,dec,butte creek,50,1971-11-25
48,dec,clear creek,50,1971-11-25
48,dec,deer creek,50,1971-11-25
48,dec,mill creek,50,1971-11-25
48,dec,feather river,50,1971-11-25
48,dec,yuba river,60,1971-11-25
49,dec,battle creek,75,1971-12-02
49,dec,butte creek,50,1971-12-02
49,dec,clear creek,60,1971-12-02
49,dec,deer creek,50,1971-12-02
49,dec,mill creek,50,1971-12-02
49,dec,feather river,50,1971-12-02
49,dec,yuba river,60,1971-12-02
50,dec,battle creek,75,1971-12-09
50,dec,butte creek,50,1971-12-09
50,dec,clear creek,70,1971-12-09
50,dec,deer creek,50,1971-12-09
50,dec,mill creek,50,1971-12-09
50,dec,feather river,60,1971-12-09
50,dec,yuba river,70,1971-12-09
51,dec,battle creek,75,1971-12-16
51,dec,butte creek,50,1971-12-16
51,dec,clear creek,75,1971-12-16
51,dec,deer creek,50,1971-12-16
51,dec,mill creek,50,1971-12-16
51,dec,feather river,60,1971-12-16
51,dec,yuba river,70,1971-12-16
52,dec,battle creek,75,1971-12-23
52,dec,butte creek,60,1971-12-23
52,dec,clear creek,75,1971-12-23
52,dec,deer creek,50,1971-12-23
52,dec,mill creek,50,1971-12-23
52,dec,feather river,60,1971-12-23
52,dec,yuba river,70,1971-12-23
